time,accel_x,accel_y,accel_z,accel_uni,strain
0.0,1.5,-0.1,-0.6,,0.36
0.009809999999902175,1.5,-0.1,-0.6,5.0,
0.019619999999918036,0.1,0.2,0.4,,1.27
0.02943999999990865,0.1,0.2,0.4,,1.27
0.03924999999992451,0.6,-0.2,-0.1,,1.0
0.049059999999940374,0.6,-0.2,-0.1,,1.0
0.05887999999993099,1.4,0.0,0.3,,0.36
0.06868999999994685,1.4,0.0,0.3,-0.6,
0.07849999999996271,0.2,-1.3,0.0,,1.96
0.08822999999995318,0.2,-1.3,0.0,,1.96
0.0980499999999438,-1.4,-0.7,1.0,,1.09
0.10785999999995965,-1.4,-0.7,1.0,,1.09
0.11766999999997552,0.2,1.2,0.0,5.0,
0.12748999999996613,0.2,1.2,0.0,,0.36
0.137299999999982,0.1,0.3,0.3,3.6,
0.14710999999999785,0.1,0.3,0.3,,0.68
0.15692999999998847,-0.7,-0.8,-0.1,,1.91
0.16673999999989064,-0.7,-0.8,-0.1,,1.91
0.1765499999999065,-0.7,-0.8,-0.1,,1.46
0.18636999999989712,0.3,0.1,-0.4,,1.46
0.19608999999991283,0.3,0.1,-0.4,,1.46
0.20590999999990345,0.5,0.3,-0.2,3.0,
0.2157199999999193,0.5,0.3,-0.2,,0.36
0.22552999999993517,-0.9,-0.3,-0.7,,0.68
0.23534999999992579,-0.9,-0.3,-0.7,-4.0,
0.24515999999994165,0.3,-0.4,1.5,,0.54
0.2549699999999575,0.3,-0.4,1.5,,0.54
0.2647899999999481,1.1,-0.7,0.1,-4.4,
0.274599999999964,1.1,-0.7,0.1,,0.5
0.28440999999997985,-0.5,0.5,0.0,,0.54
0.29422999999997046,-0.5,0.5,0.0,-1.2,
0.3040399999999863,0.5,-0.3,0.2,,1.32
0.3138499999998885,0.5,-0.3,0.2,,1.32
0.32357999999999265,0.6,1.3,-0.1,,1.14
0.33339999999998327,0.6,1.3,-0.1,,1.14
0.3432099999999991,-0.5,0.6,-0.3,,0.95
0.3530199999999013,-0.5,0.6,-0.3,,0.95
0.3628399999998919,-0.5,0.6,-0.3,,0.41
0.3726499999999078,0.3,0.1,0.5,,0.41
0.38245999999992364,0.3,0.1,0.5,,0.41
0.39227999999991425,0.0,1.5,0.2,,1.09
0.4020899999999301,0.0,1.5,0.2,,1.09
0.411899999999946,0.9,0.1,-0.1,,1.78
0.4217199999999366,0.9,0.1,-0.1,-6.0,
0.4314399999999523,-0.3,0.0,-0.1,,0.41
0.4412599999999429,-0.3,0.0,-0.1,,0.41
0.4510699999999588,0.1,0.3,-1.5,,1.96
0.46087999999997464,0.1,0.3,-1.5,,1.96
0.47069999999996526,-0.4,0.2,0.3,,0.68
0.4805099999999811,-0.4,0.2,0.3,,0.68
0.490319999999997,0.5,1.0,-0.6,,0.36
0.5001399999999876,0.5,1.0,-0.6,,0.36
0.5099499999998898,0.2,0.6,-0.1,,0.73
0.5197599999999056,0.2,0.6,-0.1,,0.73
0.5295799999998962,0.2,-1.1,-0.4,,0.73
0.5393899999999121,0.2,-1.1,-0.4,,0.73
0.549199999999928,0.2,-1.1,-0.4,,1.18
0.5589299999999184,0.7,-0.5,-1.4,0.2,
0.5687399999999343,0.7,-0.5,-1.4,,1.09
0.5785599999999249,-0.2,-0.1,0.5,,1.09
0.5883699999999408,-0.2,-0.1,0.5,,1.09
0.5981799999999566,-0.5,1.1,-0.1,,0.63
0.6079999999999472,-0.5,1.1,-0.1,,0.63
0.6178099999999631,0.0,0.5,-0.7,-2.0,
0.627619999999979,0.0,0.5,-0.7,,1.09
0.6374399999999696,0.4,-0.4,0.4,,1.46
0.6472499999999854,0.4,-0.4,0.4,-6.6,
0.6570599999998876,-0.3,0.4,-0.2,,1.32
0.6668799999999919,-0.3,0.4,-0.2,,1.32
0.6766099999999824,-0.8,-0.1,-0.1,-3.4,
0.6864199999999983,-0.8,-0.1,-0.1,,0.54
0.6962299999999004,-0.3,-0.3,0.4,,1.09
0.706049999999891,-0.3,-0.3,0.4,-4.4,
0.7158599999999069,0.1,-0.1,0.5,,1.14
0.7256699999999228,0.1,-0.1,0.5,,1.14
0.7354899999999134,-0.1,1.4,-1.0,,0.73
0.7452999999999292,-0.1,1.4,-1.0,-0.6,
0.7551099999999451,-0.1,1.4,-1.0,,1.78
0.7649299999999357,0.4,-1.6,0.5,,1.78
0.7747399999999516,0.4,-1.6,0.5,0.4,
0.7845499999999674,-0.7,0.6,1.3,,1.37
0.7942799999999579,-0.7,0.6,1.3,,1.37
0.8040899999999738,0.5,1.0,-0.4,-3.8,
0.8139099999999644,0.5,1.0,-0.4,,1.64
0.8237199999999802,-0.3,-0.7,-0.1,,1.64
0.8335299999999961,-0.3,-0.7,-0.1,-3.8,
0.8433499999999867,-0.7,0.6,0.0,,1.0
0.8531599999998889,-0.7,0.6,0.0,,1.0
0.8629699999999048,0.0,-0.3,-0.1,,1.0
0.8727899999998954,0.0,-0.3,-0.1,,1.0
0.8825999999999112,0.1,-0.4,1.5,3.6,
0.8924099999999271,0.1,-0.4,1.5,,0.36
0.9022299999999177,-0.9,-0.5,-0.2,,0.54
0.9120399999999336,-0.9,-0.5,-0.2,,0.54
0.9218499999999494,0.0,0.1,0.5,,0.68
0.9315799999999399,0.0,0.1,0.5,,0.68
0.9413999999999305,-0.8,-0.3,-1.5,,0.68
0.9512099999999464,-0.8,-0.3,-1.5,,0.68
0.9610199999999622,-0.8,-0.3,-1.5,,0.68
0.9708399999999529,-0.6,-0.5,-0.7,-1.2,
0.9806499999999687,-0.6,-0.5,-0.7,,0.91
0.9904599999999846,0.8,-0.1,0.1,,0.22
1.0002799999999752,0.8,-0.1,0.1,4.2,
1.010089999999991,-0.6,0.0,0.5,,0.36
1.0198999999998932,-0.6,0.0,0.5,,0.36
1.0296299999999974,-0.9,0.8,-0.1,-6.6,
1.0394399999998996,-0.9,0.8,-0.1,-6.6,
1.0492599999998902,0.4,0.0,-0.1,,1.0
1.059069999999906,0.4,0.0,-0.1,0.2,
1.068879999999922,-0.8,-0.8,0.1,,0.59
1.0786999999999125,-0.8,-0.8,0.1,,0.59
1.0885099999999284,-0.3,-0.2,-0.1,,1.27
1.0983199999999442,-0.3,-0.2,-0.1,-2.6,
1.1081399999999348,0.0,0.1,0.2,,0.54
1.1179499999999507,0.0,0.1,0.2,,0.54
1.1277599999999666,-0.3,-0.6,0.1,-5.2,
1.1375799999999572,-0.3,-0.6,0.1,,0.86
1.147389999999973,-0.3,-0.6,0.1,,0.54
1.157199999999989,0.2,0.4,0.6,,0.54
1.1669299999999794,0.2,0.4,0.6,,0.54
1.1767399999999952,0.5,0.3,0.4,,0.36
1.1865599999999858,0.5,0.3,0.4,-2.0,
1.196369999999888,0.0,-0.6,-0.1,,1.46
1.2061799999999039,0.0,-0.6,-0.1,,1.46
1.2159999999998945,-0.3,-0.2,-0.1,,1.46
1.2258099999999104,-0.3,-0.2,-0.1,,1.46
1.2356199999999262,-0.3,-0.6,0.5,-3.4,
1.2454399999999168,-0.3,-0.6,0.5,,1.27
1.2552499999999327,-0.5,0.2,-0.2,,0.68
1.2650599999999486,-0.5,0.2,-0.2,,0.68
1.2748799999999392,-0.7,-0.2,0.2,,1.96
1.2846099999999296,-0.7,-0.2,0.2,,1.96
1.2944199999999455,-0.2,0.2,-0.5,-6.6,
1.3042299999999614,-0.2,0.2,-0.5,,1.64
1.314049999999952,0.9,-0.1,0.1,,1.09
1.3238599999999678,0.9,-0.1,0.1,0.8,
1.3336699999999837,0.9,-0.1,0.1,,1.64
1.3434899999999743,0.1,0.5,0.2,,1.64
1.3532999999999902,0.1,0.5,0.2,,1.64
1.3631099999998924,0.6,0.5,0.0,,1.64
1.3729299999999967,0.6,0.5,0.0,,1.64
1.3827399999998988,-0.9,-0.4,0.5,0.4,
1.3924699999998893,-0.9,-0.4,0.5,0.4,
1.4022799999999052,0.4,0.1,0.0,,0.77
1.4121799999999212,0.4,0.1,0.0,,0.77
1.4219099999999116,0.2,-0.3,1.5,,1.64
1.4317199999999275,0.2,-0.3,1.5,,1.64
1.4415299999999434,0.6,0.3,0.2,,1.64
1.451349999999934,0.6,0.3,0.2,0.0,
1.4611599999999498,0.5,0.5,0.0,,0.36
1.4709699999999657,0.5,0.5,0.0,,0.36
1.4807899999999563,0.5,-0.5,0.3,,0.68
1.4905999999999722,0.5,-0.5,0.3,,0.68
1.500409999999988,0.1,-1.5,0.1,,0.68
1.5102299999999786,0.1,-1.5,0.1,3.6,
1.5200399999999945,0.4,1.4,-0.3,,1.64
1.529769999999985,0.4,1.4,-0.3,,1.64
1.5395799999998871,0.4,1.4,-0.3,,0.82
1.5493999999999915,-0.4,0.2,0.7,,0.82
1.5592099999998936,-0.4,0.2,0.7,,0.82
1.5690199999999095,0.4,-1.1,0.7,,1.96
1.5788399999999,0.4,-1.1,0.7,,1.96
1.588649999999916,1.4,0.2,-0.2,,0.73
1.5984599999999318,1.4,0.2,-0.2,,0.73
1.6082799999999224,0.0,-0.2,0.4,,0.91
1.6180899999999383,0.0,-0.2,0.4,,0.91
1.6278999999999542,-0.3,-0.9,-1.5,,0.68
1.6376299999999446,-0.3,-0.9,-1.5,,0.68
1.6474399999999605,0.2,0.3,-0.3,-2.4,
1.657259999999951,0.2,0.3,-0.3,,1.64
1.667069999999967,0.5,-0.3,-0.4,,1.96
1.6768799999999828,0.5,-0.3,-0.4,-6.0,
1.6866999999999734,-1.2,-0.7,0.0,,0.41
1.6965099999999893,-1.2,-0.7,0.0,,0.41
1.7063199999998915,0.3,-1.2,-0.1,,1.64
1.7161399999999958,0.3,-1.2,-0.1,,1.64
1.725949999999898,0.3,-1.2,-0.1,,1.09
1.7357599999999138,0.3,-0.2,-0.1,0.2,
1.7455799999999044,0.3,-0.2,-0.1,,1.09
1.7553899999999203,-0.1,0.0,0.1,,1.09
1.7651199999999108,-0.1,0.0,0.1,,1.09
1.7749299999999266,-0.3,0.5,0.0,,1.96
1.7847399999999425,-0.3,0.5,0.0,,1.96
1.794559999999933,0.5,0.1,0.2,,1.64
1.804369999999949,0.5,0.1,0.2,-3.8,
1.8141799999999648,-0.2,1.0,-0.4,,1.64
1.8239999999999554,-0.2,1.0,-0.4,,1.64
1.8338099999999713,0.0,0.1,-0.1,,0.82
1.8436199999999872,0.0,0.1,-0.1,,0.82
1.8534399999999778,0.0,1.3,0.4,,0.68
1.8632499999999936,0.0,1.3,0.4,0.8,
1.8730599999998958,0.2,0.1,1.4,-3.4,
1.88288,0.2,0.1,1.4,,0.54
1.8926899999999023,0.4,0.0,-0.1,,0.54
1.9024199999998928,0.4,0.0,-0.1,,0.54
1.9122299999999086,-0.2,0.2,0.0,,0.68
1.9220499999998992,-0.2,0.2,0.0,,0.68
1.931859999999915,-0.2,0.2,0.0,-6.0,
1.941669999999931,1.0,0.1,-0.4,-6.0,
1.9514899999999216,1.0,0.1,-0.4,,1.64
1.9612999999999374,1.1,-1.2,0.1,,0.86
1.9711099999999533,1.1,-1.2,0.1,,0.86
1.980929999999944,0.5,-0.3,1.3,,0.54
1.9907399999999598,0.5,-0.3,1.3,,0.54
2.0005499999999756,-0.5,0.6,-0.1,0.4,
2.0103699999999662,-0.5,0.6,-0.1,,1.64
2.020089999999982,1.2,-0.1,-0.4,,1.0
2.0299099999999726,1.2,-0.1,-0.4,-2.0,
2.0397199999999884,0.6,-0.1,0.0,,0.36
2.0495299999998906,0.6,-0.1,0.0,,0.36
2.059349999999995,-0.4,0.2,0.2,-2.4,
2.069159999999897,-0.4,0.2,0.2,,1.46
2.078969999999913,-0.4,0.5,-0.4,,0.36
2.0887899999999036,-0.4,0.5,-0.4,5.0,
