time,accel_x,accel_y,accel_z,accel_uni,strain
0.0,-0.6,-1.0,0.0,,1.5
0.009810000000015862,-0.6,-1.0,0.0,,1.5
0.019630000000006476,0.0,-0.3,-0.1,,2.6
0.02943999999990865,0.0,-0.3,-0.1,,2.6
0.03924999999992451,0.0,-0.3,-0.1,,1.05
0.049069999999915126,-0.4,1.0,-0.1,,1.05
0.05887999999993099,-0.4,1.0,-0.1,-0.6,
0.06868999999994685,0.2,-0.8,0.5,,1.37
0.07850999999993746,0.2,-0.8,0.5,,1.37
0.08831999999995332,-0.3,-0.9,-0.4,,1.73
0.0980499999999438,-0.3,-0.9,-0.4,,1.73
0.1079499999999598,0.0,0.5,0.1,,1.37
0.11767999999995027,0.0,0.5,0.1,,1.37
0.12748999999996613,-0.2,0.3,-0.3,,1.27
0.137299999999982,-0.2,0.3,-0.3,,1.27
0.1471199999999726,-1.5,-0.6,-0.1,,1.37
0.15692999999998847,-1.5,-0.6,-0.1,,1.37
0.16674000000000433,-0.5,0.1,-0.2,-4.0,
0.17655999999999494,-0.5,0.1,-0.2,,1.05
0.1863700000000108,0.3,0.0,-0.1,,1.37
0.19617999999991298,0.3,0.0,-0.1,-2.0,
0.20600000000001728,-0.3,-1.2,0.4,,1.0
0.2157199999999193,-0.3,-1.2,0.4,,1.0
0.22553999999990992,-0.3,-1.2,0.4,,2.55
0.23534999999992579,-0.2,-0.3,-0.4,,2.55
0.24515999999994165,-0.2,-0.3,-0.4,,2.55
0.25497999999993226,0.6,0.3,-1.5,-2.0,
0.2647899999999481,0.6,0.3,-1.5,,1.18
0.274599999999964,-0.5,-1.2,-0.2,,2.28
0.2844199999999546,-0.5,-1.2,-0.2,,2.28
0.29422999999997046,0.5,0.0,-0.6,-4.8,
0.3040399999999863,0.5,0.0,-0.6,,1.78
0.31385999999997694,0.9,-0.6,0.1,-3.4,
0.3235899999999674,0.9,-0.6,0.1,-3.4,
0.33339999999998327,-0.6,1.2,-0.2,,1.69
0.3432099999999991,-0.6,1.2,-0.2,,1.69
0.35302999999998974,0.1,-0.2,-1.4,-2.6,
0.3628400000000056,0.1,-0.2,-1.4,,1.78
0.3726499999999078,0.4,-0.1,-0.3,,2.74
0.3824700000000121,0.4,-0.1,-0.3,0.4,
0.39227999999991425,-0.2,1.0,-0.3,0.2,
0.4020899999999301,-0.2,1.0,-0.3,,1.32
0.41190999999992073,0.4,0.3,1.3,0.8,
0.4217199999999366,0.4,0.3,1.3,,1.37
0.43152999999995245,0.4,0.3,1.3,,2.74
0.4412599999999429,0.6,-0.3,0.4,,2.74
0.4510699999999588,0.6,-0.3,0.4,,2.74
0.4608899999999494,-0.5,-0.1,-0.8,-1.0,
0.47069999999996526,-0.5,-0.1,-0.8,,2.28
0.4805099999999811,1.3,-0.2,0.1,,1.59
0.49032999999997173,1.3,-0.2,0.1,,1.59
0.5001399999999876,0.3,1.3,0.0,,2.28
0.5099500000000035,0.3,1.3,0.0,,2.28
0.5197699999999941,-0.4,0.1,-1.4,-0.6,
0.5295800000000099,-0.4,0.1,-1.4,,1.69
0.5393899999999121,-0.6,-0.3,-0.2,,1.0
0.5491200000000163,-0.6,-0.3,-0.2,,1.0
0.5589299999999184,0.2,0.5,0.4,,1.27
0.568749999999909,0.2,0.5,0.4,,1.27
0.5785599999999249,-0.8,0.2,1.5,,2.28
0.5883699999999408,-0.8,0.2,1.5,-2.4,
0.5981899999999314,-0.2,-0.2,0.0,,1.14
0.6079999999999472,-0.2,-0.2,0.0,,1.14
0.6178099999999631,-0.2,-0.2,0.0,,2.28
0.6276299999999537,1.1,-0.4,-0.3,,2.28
0.6374399999999696,1.1,-0.4,-0.3,,2.28
0.6472499999999854,1.1,0.2,-0.6,2.2,
0.6569799999999759,1.1,0.2,-0.6,,1.78
0.6667999999999665,0.3,0.2,0.1,,1.37
0.6766099999999824,0.3,0.2,0.1,2.2,
0.6864199999999983,0.8,-0.6,-1.1,,1.69
0.6962399999999889,0.8,-0.6,-1.1,,1.69
0.7060500000000047,0.4,0.9,0.1,1.6,
0.7158599999999069,0.4,0.9,0.1,,1.78
0.7256800000000112,0.2,0.9,0.0,,2.28
0.7354899999999134,0.2,0.9,0.0,-6.6,
0.7452999999999292,-0.7,0.0,0.5,-2.6,
0.7551199999999199,-0.7,0.0,0.5,,1.27
0.7648399999999356,0.2,0.1,-0.1,,1.18
0.7746599999999262,0.2,0.1,-0.1,,1.18
0.784469999999942,-1.1,0.7,0.3,,1.32
0.7942799999999579,-1.1,0.7,0.3,,1.32
0.8040999999999485,-1.1,-0.1,-0.1,,1.37
0.8139099999999644,-1.1,-0.1,-0.1,,1.37
0.8237199999999802,-1.1,-0.1,-0.1,,1.37
0.8335399999999709,-0.2,-1.6,0.5,,1.41
0.8433499999999867,-0.2,-1.6,0.5,,1.41
0.8531600000000026,-0.8,0.6,-0.3,,1.32
0.8629799999999932,-0.8,0.6,-0.3,,1.32
0.8727900000000091,0.1,0.4,-0.1,-0.6,
0.8825199999999995,0.1,0.4,-0.1,,1.18
0.8923300000000154,0.2,-0.4,0.2,,1.0
0.902150000000006,0.2,-0.4,0.2,,1.0
0.9119599999999082,0.3,0.4,-1.0,,1.0
0.921769999999924,0.3,0.4,-1.0,,1.0
0.9315899999999147,-0.3,0.2,0.3,-0.6,
0.9413999999999305,-0.3,0.2,0.3,,1.0
0.9512099999999464,-0.1,-1.4,-0.1,,2.28
0.961029999999937,-0.1,-1.4,-0.1,,2.28
0.9708399999999529,1.0,0.4,-0.1,,1.32
0.9806499999999687,1.0,0.4,-0.1,,1.32
0.9904699999999593,1.0,-0.2,0.6,,1.0
1.0002799999999752,1.0,-0.2,0.6,3.6,
1.0100099999999657,1.0,-0.2,0.6,,2.28
1.0198199999999815,-0.4,-1.0,0.4,,2.28
1.0296299999999974,-0.4,-1.0,0.4,-5.2,
1.039449999999988,1.4,0.2,0.1,,1.41
1.0492600000000039,1.4,0.2,0.1,,1.41
1.059069999999906,0.1,-1.5,-0.2,-5.2,
1.0688900000000103,0.1,-1.5,-0.2,,1.5
1.0786999999999125,0.2,-0.4,0.7,,1.0
1.0885099999999284,0.2,-0.4,0.7,3.6,
1.098329999999919,0.1,0.5,-0.3,,1.37
1.1081399999999348,0.1,0.5,-0.3,,1.37
1.1178699999999253,0.3,-1.2,0.1,,1.78
1.1276799999999412,0.3,-1.2,0.1,,1.78
1.137489999999957,0.1,-0.8,0.3,,1.0
1.1473099999999476,0.1,-0.8,0.3,-2.0,
1.1571199999999635,0.1,0.3,-0.4,,1.18
1.1669299999999794,0.1,0.3,-0.4,,1.18
1.17674999999997,0.6,-0.1,0.9,,1.05
1.1865599999999858,0.6,-0.1,0.9,,1.05
1.1963700000000017,0.6,-0.1,0.9,,1.0
1.2061899999999923,0.4,-0.3,-1.0,,1.0
1.2160000000000082,0.4,-0.3,-1.0,5.0,
1.2258099999999104,0.2,0.2,-0.5,,1.18
1.2356300000000147,0.2,0.2,-0.5,,1.18
1.2453600000000051,-0.2,-0.3,-0.1,,1.05
1.2551699999999073,-0.2,-0.3,-0.1,,1.05
1.2649799999999232,0.4,-1.2,0.4,,1.5
1.2747999999999138,0.4,-1.2,0.4,1.6,
1.2846099999999296,-1.6,0.5,0.2,-4.0,
1.2944199999999455,-1.6,0.5,0.2,,1.37
1.3042399999999361,-0.6,0.5,-0.3,,1.46
1.314049999999952,-0.6,0.5,-0.3,,1.46
1.3238599999999678,0.2,-0.7,-1.4,,1.0
1.3336799999999585,0.2,-0.7,-1.4,,1.0
1.3433999999999742,-0.5,0.1,-0.1,3.0,
1.3532199999999648,-0.5,0.1,-0.1,3.0,
1.3630299999999806,-0.2,0.5,-0.3,,1.82
1.3728399999999965,-0.2,0.5,-0.3,,1.82
1.3826599999999871,0.1,-1.2,0.0,,1.37
1.392470000000003,0.1,-1.2,0.0,,1.37
1.4022799999999052,0.1,-1.2,0.0,3.4,
1.4121000000000095,0.2,0.1,0.3,3.4,
1.4219099999999116,0.2,0.1,0.3,,2.01
1.4317199999999275,0.0,-0.3,-0.3,,1.0
1.441539999999918,0.0,-0.3,-0.3,5.0,
1.451349999999934,-0.3,-1.0,-1.2,,1.32
1.4611599999999498,-0.3,-1.0,-1.2,,1.32
1.4709799999999404,-0.3,-0.1,-0.3,-1.2,
1.480709999999931,-0.3,-0.1,-0.3,,1.73
1.4905199999999468,-0.2,1.0,-0.2,,0.82
1.5003299999999626,-0.2,1.0,-0.2,2.2,
1.5101499999999533,-0.2,-0.9,0.4,,1.37
1.5199599999999691,-0.2,-0.9,0.4,,1.37
1.529769999999985,-0.3,0.1,0.0,,1.37
1.5395899999999756,-0.3,0.1,0.0,,1.37
1.5493999999999915,-0.1,0.3,-0.8,-2.0,
1.5592100000000073,-0.1,0.3,-0.8,,1.18
1.569029999999998,-0.1,-0.6,-0.5,2.2,
1.5788400000000138,-0.1,-0.6,-0.5,,1.0
1.5885700000000043,-0.1,-0.6,-0.5,,1.0
1.5983799999999064,-0.5,-0.5,0.4,,1.0
1.6081899999999223,-0.5,-0.5,0.4,,1.0
1.618009999999913,0.2,0.4,-0.4,,1.18
1.6278199999999288,0.2,0.4,-0.4,,1.18
1.6376299999999446,-0.3,-0.5,-0.4,-2.0,
1.6474499999999352,-0.3,-0.5,-0.4,,1.18
1.657259999999951,-0.2,-0.2,-0.3,,1.18
1.667069999999967,-0.2,-0.2,-0.3,,1.18
1.6768899999999576,0.0,-0.5,-0.3,,2.28
1.6866999999999734,0.0,-0.5,-0.3,,2.28
1.6965099999999893,-1.0,-0.6,-0.5,3.6,
1.70632999999998,-1.0,-0.6,-0.5,3.6,
1.7160499999999956,-0.5,1.5,-0.3,,2.92
1.7258699999999862,-0.5,1.5,-0.3,,2.92
1.735680000000002,-0.2,-0.1,-0.6,,1.5
1.7454899999999043,-0.2,-0.1,-0.6,,1.5
1.7553100000000086,-0.3,-0.4,-0.7,,1.37
1.7651199999999108,-0.3,-0.4,-0.7,-3.6,
1.7749299999999266,0.2,-1.0,-0.4,,1.37
1.7847499999999172,0.2,-1.0,-0.4,,1.37
1.794559999999933,0.2,-1.0,-0.4,,2.1
1.804369999999949,0.1,-0.3,0.2,,2.1
1.8141899999999396,0.1,-0.3,0.2,,2.1
1.8239999999999554,-0.8,-0.9,0.0,,1.27
1.833729999999946,-0.8,-0.9,0.0,,1.27
1.8435399999999618,-0.7,0.1,0.2,,1.0
